Date,Open,High,Low,Close,Adj Close,Volume
1/30/2020,284.02,284.95,280.02,282.4,278.21,645600
1/31/2020,282.95,282.95,276.86,281.75,277.57,738300
2/3/2020,282.51,282.95,270.08,270.75,266.73,926300
2/4/2020,272.65,274.54,271.65,273.4,269.34,1057000
2/5/2020,275,278.99,274.16,278.01,273.89,1080600
2/6/2020,278.37,280.71,275.35,279.41,275.26,796200
2/7/2020,284.46,284.46,274.32,275.51,271.42,1368200
2/10/2020,275.52,276.95,273.6,274.85,270.77,684800
2/11/2020,275,278,273.59,275.75,271.66,752400
2/12/2020,275.52,282.97,274.99,281.03,276.86,891300
2/13/2020,279.37,287.21,279.37,286.03,281.79,520700
2/14/2020,285.97,293.15,284.01,291.6,287.27,780600
2/18/2020,293.24,297.21,291.87,295.78,291.39,873800
2/19/2020,297.99,301.77,295.39,297.1,292.69,1176000
2/20/2020,362.03,381.86,356.96,373.16,367.62,5009700
2/21/2020,366.01,374,362.97,371.96,366.44,1645000
2/24/2020,355.51,366.89,354.63,363.01,357.62,1221900
2/25/2020,363.71,379.58,363.71,368.66,363.19,2437000
2/26/2020,371.87,377.33,366.38,366.67,361.23,1107200
2/27/2020,361.05,361.05,347.73,347.86,342.7,1090800
2/28/2020,341.1,345.72,333.91,339.46,334.42,2077600
3/2/2020,340.22,348.52,333.79,347.52,342.36,863600
3/3/2020,349.48,350,336.19,339.47,334.43,846700
3/4/2020,341.95,345.86,334.23,341.89,336.82,740900
3/5/2020,338.18,340.59,329.16,333.03,328.09,828400
3/6/2020,325.36,337.23,320.75,336.41,331.42,853400
3/9/2020,321.56,340.18,314,336.67,331.68,1267600
3/10/2020,337.79,347.32,328.5,343.95,338.85,857100
3/11/2020,338.3,344.72,332.03,332.66,327.72,889500
3/12/2020,308.02,329.62,300,317.11,313.14,1139300
3/13/2020,328.39,329.08,297.32,316.63,312.67,1208600
3/16/2020,297.43,311.53,283.6,286.32,282.74,1089100
3/17/2020,291.64,314.96,282.03,298.74,295,1183400
3/18/2020,296.54,303.87,275.22,290,286.37,1098800
3/19/2020,292,337.22,289.34,323.14,319.09,1423000
3/20/2020,326.91,344.2,298.14,299.95,296.19,1802800
3/23/2020,310.91,336.8,294.21,323.87,319.82,1340500
3/24/2020,341.12,349,333.16,343.56,339.26,881100
3/25/2020,345.48,349.68,320.81,321.45,317.43,963100
3/26/2020,323.5,342,317.82,338.51,334.27,870600
3/27/2020,328.83,341.99,326.06,338.74,334.5,646200
3/30/2020,338.65,353.42,333.51,346.75,342.41,954400
3/31/2020,325,330.84,321,324.07,320.01,2097000
4/1/2020,312.01,337.83,310.34,333.77,329.59,1200100
4/2/2020,330.22,341.57,321.5,333.45,329.28,772300
4/3/2020,333,338.36,325.1,328.23,324.12,571900
4/6/2020,340,340.84,330.43,338.52,334.28,805300
4/7/2020,347.28,351.91,333.82,333.96,329.78,737400
4/8/2020,338.89,344.97,333.19,343.83,339.53,688100
4/9/2020,348,352.22,340.53,343.64,339.34,641300
4/13/2020,344.55,357.97,338.71,355.14,350.69,755400
4/14/2020,364.45,365.88,353.23,358.26,353.77,713400
4/15/2020,355.09,360.58,353.39,354.62,350.18,703300
4/16/2020,359.06,362.99,356.62,360.47,355.96,861900
4/17/2020,362.58,366,355.42,362.97,358.43,715400
4/20/2020,364.66,374.2,364.66,370.48,365.84,844000
4/21/2020,370.48,377.34,360.24,365.22,360.65,696700
